"artist","l1","l2","l3"
starship,starship,starship,starship
starz,starz,starz,starz
state of mine,state of mine,state of mine,state of mine
staysolidrocky,staysolidrocky,staysolidrocky,staysolidrocky
stealers wheel,stealers wheel,stealers wheel,stealers wheel
steam,steam,steam,steam
steel breeze,steel breeze,steel breeze,steel breeze
steel magnolia,steel magnolia,steel magnolia,steel magnolia
steelheart,steelheart,steelheart,steelheart
steely dan,steely dan,steely dan,steely dan
stephanie beatriz,stephanie beatriz,stephanie beatriz,stephanie beatriz
stephanie mills,stephanie mills,stephanie mills,stephanie mills
stephen bishop,stephen bishop,stephen bishop,stephen bishop
stephen sanchez,stephen sanchez,stephen sanchez,stephen sanchez
stephen stills,stephen stills,stephen stills,stephen stills
stephen stills-manassas,stephen stills-manassas,stephen stills-manassas,stephen stills manassas
steppenwolf,steppenwolf,steppenwolf,steppenwolf
stereo mc's,stereo mc's,stereo mcs,stereo mcs
steve,steve,steve,steve
steve alaimo,steve alaimo,steve alaimo,steve alaimo
steve allen,steve allen,steve allen,steve allen
steve aoki,steve aoki,steve aoki,steve aoki
steve arrington,steve arrington,steve arrington,steve arrington
steve azar,steve azar,steve azar,steve azar
steve carlisle,steve carlisle,steve carlisle,steve carlisle
steve dahl,steve dahl,steve dahl,steve dahl
steve forbert,steve forbert,steve forbert,steve forbert
steve greenberg,steve greenberg,steve greenberg,steve greenberg
steve harley,steve harley,steve harley,steve harley
steve holy,steve holy,steve holy,steve holy
steve lacy,steve lacy,steve lacy,steve lacy
steve lawrence,steve lawrence,steve lawrence,steve lawrence
steve martin,steve martin,steve martin,steve martin
steve miller,steve miller,steve miller,steve miller
steve perry,steve perry,steve perry,steve perry
steve sperry,steve sperry,steve sperry,steve sperry
steve wariner,steve wariner,steve wariner,steve wariner
steve winwood,steve winwood,steve winwood,steve winwood
steven tyler,steven tyler,steven tyler,steven tyler
stevie b,stevie b,stevie b,stevie b
stevie nicks,stevie nicks,stevie nicks,stevie nicks
stevie wonder,stevie wonder,stevie wonder,stevie wonder
stevie woods,stevie woods,stevie woods,stevie woods
stillwater,stillwater,stillwater,stillwater
sting,sting,sting,sting
stone poneys,stone poneys,stone poneys,stone poneys
stone sour,stone sour,stone sour,stone sour
stone temple pilots,stone temple pilots,stone temple pilots,stone temple pilots
stonebolt,stonebolt,stonebolt,stonebolt
stonewall jackson,stonewall jackson,stonewall jackson,stonewall jackson
stoney,stoney,stoney,stoney
stories,stories,stories,stories
strawberry alarm clock,strawberry alarm clock,strawberry alarm clock,strawberry alarm clock
stray cats,stray cats,stray cats,stray cats
stray kids,stray kids,stray kids,stray kids
streek,streek,streek,streek
street people,street people,street people,street people
streets,streets,streets,streets
stromae,stromae,stromae,stromae
stryper,stryper,stryper,stryper
studio all-stars,studio all-stars,studio all-stars,studio all stars
sty,sty,sty,sty
styles,styles,styles,styles
suave,suave,suave,suave
sublime,sublime,sublime,sublime
subway,subway,subway,subway
subway (,subway (,subway (,subway
sudden change,sudden change,sudden change,sudden change
sue thompson,sue thompson,sue thompson,sue thompson
sueco,sueco,sueco,sueco
suga free,suga free,suga free,suga free
sugababes,sugababes,sugababes,sugababes
sugar bears,sugar bears,sugar bears,sugar bears
sugar pie desanto,sugar pie desanto,sugar pie desanto,sugar pie desanto
sugar ray,sugar ray,sugar ray,sugar ray
sugarhill gang,sugarhill gang,sugarhill gang,sugarhill gang
sugarl,sugarl,sugarl,sugarl
sugarloaf,sugarloaf,sugarloaf,sugarloaf
sugarloaf/jerry corbetta,sugarloaf/jerry corbetta,sugarloaf/jerry corbetta,sugarloaf jerry corbetta
sum 41,sum 41,sum 41,sum 41
summer walker,summer walker,summer walker,summer walker
sun,sun,sun,sun
sundance head,sundance head,sundance head,sundance head
sunday,sunday,sunday,sunday
sundown company,sundown company,sundown company,sundown company
sunny,sunny,sunny,sunny
sunny sweeney,sunny sweeney,sunny sweeney,sunny sweeney
sunscreem,sunscreem,sunscreem,sunscreem
sunshine,sunshine,sunshine,sunshine
super cat,super cat,super cat,super cat
superstar pride,superstar pride,superstar pride,superstar pride
supertramp,supertramp,supertramp,supertramp
supremes,supremes,supremes,supremes
surf curse,surf curse,surf curse,surf curse
surf mesa,surf mesa,surf mesa,surf mesa
surface,surface,surface,surface
surfaces,surfaces,surfaces,surfaces
survivor,survivor,survivor,survivor
susan boyle,susan boyle,susan boyle,susan boyle
susan christie,susan christie,susan christie,susan christie
susan jacks,susan jacks,susan jacks,susan jacks
susan raye,susan raye,susan raye,susan raye
susanna hoffs,susanna hoffs,susanna hoffs,susanna hoffs
sutherl,sutherl,sutherl,sutherl
suzanne fellini,suzanne fellini,suzanne fellini,suzanne fellini
suzanne vega,suzanne vega,suzanne vega,suzanne vega
suzi quatro,suzi quatro,suzi quatro,suzi quatro
suzy,suzy,suzy,suzy
swae lee,swae lee,swae lee,swae lee
sweathog,sweathog,sweathog,sweathog
swedish house mafia,swedish house mafia,swedish house mafia,swedish house mafia
sweeney todd,sweeney todd,sweeney todd,sweeney todd
sweet,sweet,sweet,sweet
sweet dreams,sweet dreams,sweet dreams,sweet dreams
sweet sable,sweet sable,sweet sable,sweet sable
sweet sensation,sweet sensation,sweet sensation,sweet sensation
sweet sensation (,sweet sensation (,sweet sensation (,sweet sensation
sweetbo,sweetbo,sweetbo,sweetbo
swing out sister,swing out sister,swing out sister,swing out sister
swingin' medallions,swingin' medallions,swingin medallions,swingin medallions
swirl 360,swirl 360,swirl 360,swirl 360
switch,switch,switch,switch
switchfoot,switchfoot,switchfoot,switchfoot
swizz beatz,swizz beatz,swizz beatz,swizz beatz
swv,swv,swv,swv
swv (,swv (,swv (,swv
sybil,sybil,sybil,sybil
sydney youngblood,sydney youngblood,sydney youngblood,sydney youngblood
syl johnson,syl johnson,syl johnson,syl johnson
sylk-e. fyne,sylk-e. fyne,sylk-e. fyne,sylk e fyne
sylvester,sylvester,sylvester,sylvester
sylvia,sylvia,sylvia,sylvia
sylvia (r,sylvia (r,sylvia (r,sylvia r
syndicate of sound,syndicate of sound,syndicate of sound,syndicate of sound
system of a down,system of a down,system of a down,system of a down
sza,sza,sza,sza
t'pau,t'pau,tpau,tpau
t-boz,t-boz,t-boz,t boz
t-connection,t-connection,t-connection,t connection
t-pain,t-pain,t-pain,t pain
t-wayne,t-wayne,t-wayne,t wayne
t. re,t. re,t. re,t re
t.a.t.u.,t.a.t.u.,t.a.t.u.,t a t u
t.g. sheppard,t.g. sheppard,t.g. sheppard,t g sheppard
t.i.,t.i.,t.i.,t i
t.k. hulin,t.k. hulin,t.k. hulin,t k hulin
t.m.g.,t.m.g.,t.m.g.,t m g
t.o.k.,t.o.k.,t.o.k.,t o k
t.p.e.,t.p.e.,t.p.e.,t p e
t.s. monk,t.s. monk,t.s. monk,t s monk
t.w.d.y.,t.w.d.y.,t.w.d.y.,t w d y
ta mara,ta mara,ta mara,ta mara
tab hunter,tab hunter,tab hunter,tab hunter
taco,taco,taco,taco
taeyang,taeyang,taeyang,taeyang
tag,tag,tag,tag
tag team,tag team,tag team,tag team
tai verdes,tai verdes,tai verdes,tai verdes
tainy,tainy,tainy,tainy
taio cruz,taio cruz,taio cruz,taio cruz
taja sevelle,taja sevelle,taja sevelle,taja sevelle
taka boom,taka boom,taka boom,taka boom
take that,take that,take that,take that
takeoff,takeoff,takeoff,takeoff
taking back sunday,taking back sunday,taking back sunday,taking back sunday
tal bachman,tal bachman,tal bachman,tal bachman
talib kweli,talib kweli,talib kweli,talib kweli
talk talk,talk talk,talk talk,talk talk
talking heads,talking heads,talking heads,talking heads
tamar bra,tamar bra,tamar bra,tamar bra
tame impala,tame impala,tame impala,tame impala
tami davis,tami davis,tami davis,tami davis
tami show,tami show,tami show,tami show
tamia,tamia,tamia,tamia
tamiko jones,tamiko jones,tamiko jones,tamiko jones
tammi terrell,tammi terrell,tammi terrell,tammi terrell
tammy cochran,tammy cochran,tammy cochran,tammy cochran
tammy montgomery,tammy montgomery,tammy montgomery,tammy montgomery
tammy wynette,tammy wynette,tammy wynette,tammy wynette
tane cain,tane cain,tane cain,tane cain
tangier,tangier,tangier,tangier
tank,tank,tank,tank
tanto metro,tanto metro,tanto metro,tanto metro
tanya blount,tanya blount,tanya blount,tanya blount
tanya tucker,tanya tucker,tanya tucker,tanya tucker
tara kemp,tara kemp,tara kemp,tara kemp
tasha holiday,tasha holiday,tasha holiday,tasha holiday
tasha thomas,tasha thomas,tasha thomas,tasha thomas
tasmin archer,tasmin archer,tasmin archer,tasmin archer
tate mcrae,tate mcrae,tate mcrae,tate mcrae
tate mcrae featauring the kid laroi,tate mcrae featauring the kid laroi,tate mcrae featauring the kid laroi,tate mcrae featauring the kid laroi
tatyana ali,tatyana ali,tatyana ali,tatyana ali
tavares,tavares,tavares,tavares
tay-k,tay-k,tay-k,tay k
taylor dayne,taylor dayne,taylor dayne,taylor dayne
taylor hicks,taylor hicks,taylor hicks,taylor hicks
taylor john williams,taylor john williams,taylor john williams,taylor john williams
taylor swift,taylor swift,taylor swift,taylor swift
te,te,te,te
teairra mari,teairra mari,teairra mari,teairra mari
tears for fears,tears for fears,tears for fears,tears for fears
tech n9ne,tech n9ne,tech n9ne,tech n9ne
technotronic,technotronic,technotronic,technotronic
ted nugent,ted nugent,ted nugent,ted nugent
ted taylor,ted taylor,ted taylor,ted taylor
teddy,teddy,teddy,teddy
teddy geiger,teddy geiger,teddy geiger,teddy geiger
teddy pendergrass,teddy pendergrass,teddy pendergrass,teddy pendergrass
teddy r,teddy r,teddy r,teddy r
teddy riley,teddy riley,teddy riley,teddy riley
teddy swims,teddy swims,teddy swims,teddy swims
teddy vann,teddy vann,teddy vann,teddy vann
tee grizzley,tee grizzley,tee grizzley,tee grizzley
teeflii,teeflii,teeflii,teeflii
teegarden,teegarden,teegarden,teegarden
teena marie,teena marie,teena marie,teena marie
tegan,tegan,tegan,tegan
tela,tela,tela,tela
telepopmusik,telepopmusik,telepopmusik,telepopmusik
tems,tems,tems,tems
ten wheel drive,ten wheel drive,ten wheel drive,ten wheel drive
ten years after,ten years after,ten years after,ten years after
tenacious d,tenacious d,tenacious d,tenacious d
tender slim,tender slim,tender slim,tender slim
tene williams,tene williams,tene williams,tene williams
tenille arts,tenille arts,tenille arts,tenille arts
tennessee ernie ford,tennessee ernie ford,tennessee ernie ford,tennessee ernie ford
terence trent d'arby,terence trent d'arby,terence trent darby,terence trent darby
teresa brewer,teresa brewer,teresa brewer,teresa brewer
teri desario,teri desario,teri desario,teri desario
terri clark,terri clark,terri clark,terri clark
terri gibbs,terri gibbs,terri gibbs,terri gibbs
terror fabulous,terror fabulous,terror fabulous,terror fabulous
terror squad,terror squad,terror squad,terror squad
terry black,terry black,terry black,terry black
terry bradshaw,terry bradshaw,terry bradshaw,terry bradshaw
terry cashman,terry cashman,terry cashman,terry cashman
terry de,terry de,terry de,terry de
terry ellis,terry ellis,terry ellis,terry ellis
terry jacks,terry jacks,terry jacks,terry jacks
terry knight,terry knight,terry knight,terry knight
terry mcdermott,terry mcdermott,terry mcdermott,terry mcdermott
terry stafford,terry stafford,terry stafford,terry stafford
tesla,tesla,tesla,tesla
tessanne chin,tessanne chin,tessanne chin,tessanne chin
tevin campbell,tevin campbell,tevin campbell,tevin campbell
th,th,th,th
tha alkaholiks,tha alkaholiks,tha alkaholiks,tha alkaholiks
tha dogg pound,tha dogg pound,tha dogg pound,tha dogg pound
thalia,thalia,thalia,thalia
that me,that me,that me,that me
the 1975,the 1975,the 1975,the 1975
the 2 live crew,the 2 live crew,the 2 live crew,the 2 live crew
the 21st century,the 21st century,the 21st century,the 21st century
the 3 friends,the 3 friends,the 3 friends,the 3 friends
the 4 of us,the 4 of us,the 4 of us,the 4 of us
the 4 seasons,the 4 seasons,the 4 seasons,the 4 seasons
the 5 chanels,the 5 chanels,the 5 chanels,the 5 chanels
the 5 royales,the 5 royales,the 5 royales,the 5 royales
the 5 stairsteps,the 5 stairsteps,the 5 stairsteps,the 5 stairsteps
the 5th dimension,the 5th dimension,the 5th dimension,the 5th dimension
the 8th day,the 8th day,the 8th day,the 8th day
the abbey tavern singers,the abbey tavern singers,the abbey tavern singers,the abbey tavern singers
the accents,the accents,the accents,the accents
the ad libs,the ad libs,the ad libs,the ad libs
the adventures,the adventures,the adventures,the adventures
the adventures of stevie v,the adventures of stevie v,the adventures of stevie v,the adventures of stevie v
the afternoon delights,the afternoon delights,the afternoon delights,the afternoon delights
the afters,the afters,the afters,the afters
the alan parsons project,the alan parsons project,the alan parsons project,the alan parsons project
the alarm,the alarm,the alarm,the alarm
the alchemist,the alchemist,the alchemist,the alchemist
the all-american rejects,the all-american rejects,the all-american rejects,the all american rejects
the alley cats,the alley cats,the alley cats,the alley cats
the allisons,the allisons,the allisons,the allisons
the allman brothers b,the allman brothers b,the allman brothers b,the allman brothers b
the amboy dukes,the amboy dukes,the amboy dukes,the amboy dukes
the american breed,the american breed,the american breed,the american breed
the american comedy network,the american comedy network,the american comedy network,the american comedy network
the ames brothers,the ames brothers,the ames brothers,the ames brothers
the an,the an,the an,the an
the angels,the angels,the angels,the angels
the animals,the animals,the animals,the animals
the appalachians,the appalachians,the appalachians,the appalachians
the applejacks,the applejacks,the applejacks,the applejacks
the arbors,the arbors,the arbors,the arbors
the archies,the archies,the archies,the archies
the arrows,the arrows,the arrows,the arrows
the art of noise,the art of noise,the art of noise,the art of noise
the artistics,the artistics,the artistics,the artistics
the assembled multitude,the assembled multitude,the assembled multitude,the assembled multitude
the association,the association,the association,the association
the astors,the astors,the astors,the astors
the astronauts,the astronauts,the astronauts,the astronauts
the ataris,the ataris,the ataris,the ataris
the atlanta disco b,the atlanta disco b,the atlanta disco b,the atlanta disco b
the avant-garde,the avant-garde,the avant-garde,the avant garde
the b,the b,the b,the b
the b-52s,the b-52s,the b-52s,the b 52s
the b.c. 52's,the b.c. 52's,the b.c. 52s,the b c 52s
the babys,the babys,the babys,the babys
the bachelors,the bachelors,the bachelors,the bachelors
the badlees,the badlees,the badlees,the badlees
the baja marimba b,the baja marimba b,the baja marimba b,the baja marimba b
the ballads,the ballads,the ballads,the ballads
the balloon farm,the balloon farm,the balloon farm,the balloon farm
the baltimore,the baltimore,the baltimore,the baltimore
the banana splits,the banana splits,the banana splits,the banana splits
the bangles,the bangles,the bangles,the bangles
the bar-kays,the bar-kays,the bar-kays,the bar kays
the barbarians,the barbarians,the barbarians,the barbarians
the barbusters (joan jett,the barbusters (joan jett,the barbusters (joan jett,the barbusters joan jett
the barden bellas,the barden bellas,the barden bellas,the barden bellas
the barron knights,the barron knights,the barron knights,the barron knights
the baskerville hounds,the baskerville hounds,the baskerville hounds,the baskerville hounds
the beach boys,the beach boys,the beach boys,the beach boys
the beatles,the beatles,the beatles,the beatles
the beatnuts,the beatnuts,the beatnuts,the beatnuts
the beau brummels,the beau brummels,the beau brummels,the beau brummels
the beau-marks,the beau-marks,the beau-marks,the beau marks
the beginning of the end,the beginning of the end,the beginning of the end,the beginning of the end
the bell notes,the bell notes,the bell notes,the bell notes
the bellamy brothers,the bellamy brothers,the bellamy brothers,the bellamy brothers
the belle stars,the belle stars,the belle stars,the belle stars
the bells,the bells,the bells,the bells
the belmonts,the belmonts,the belmonts,the belmonts
the bermudas,the bermudas,the bermudas,the bermudas
the big sound of don ralke,the big sound of don ralke,the big sound of don ralke,the big sound of don ralke
the black crowes,the black crowes,the black crowes,the black crowes
the black eyed peas,the black eyed peas,the black eyed peas,the black eyed peas
the black keys,the black keys,the black keys,the black keys
the blackbyrds,the blackbyrds,the blackbyrds,the blackbyrds
the blackout allstars,the blackout allstars,the blackout allstars,the blackout allstars
the blades of grass,the blades of grass,the blades of grass,the blades of grass
the blend,the blend,the blend,the blend
the blendells,the blendells,the blendells,the blendells
the blenders,the blenders,the blenders,the blenders
the blossoms,the blossoms,the blossoms,the blossoms
the blow monkeys,the blow monkeys,the blow monkeys,the blow monkeys
the blue diamonds,the blue diamonds,the blue diamonds,the blue diamonds
the blue jays,the blue jays,the blue jays,the blue jays
the blue notes,the blue notes,the blue notes,the blue notes
the blue ridge rangers,the blue ridge rangers,the blue ridge rangers,the blue ridge rangers
the blue-belles,the blue-belles,the blue-belles,the blue belles
the bluenotes,the bluenotes,the bluenotes,the bluenotes
the blues project,the blues project,the blues project,the blues project
the bo,the bo,the bo,the bo
the bobbettes,the bobbettes,the bobbettes,the bobbettes
the boomtown rats,the boomtown rats,the boomtown rats,the boomtown rats
the boys,the boys,the boys,the boys
the boys b,the boys b,the boys b,the boys b
the boys in the b,the boys in the b,the boys in the b,the boys in the b
the br,the br,the br,the br
the bra,the bra,the bra,the bra
the braids,the braids,the braids,the braids
the brass ring,the brass ring,the brass ring,the brass ring
the brat pack,the brat pack,the brat pack,the brat pack
the bravery,the bravery,the bravery,the bravery
the breakfast club,the breakfast club,the breakfast club,the breakfast club
the brecker brothers,the brecker brothers,the brecker brothers,the brecker brothers
the breeders,the breeders,the breeders,the breeders
the brian setzer orchestra,the brian setzer orchestra,the brian setzer orchestra,the brian setzer orchestra
the brooklyn bridge,the brooklyn bridge,the brooklyn bridge,the brooklyn bridge
the brotherhood of man,the brotherhood of man,the brotherhood of man,the brotherhood of man
the brothers four,the brothers four,the brothers four,the brothers four
the brothers johnson,the brothers johnson,the brothers johnson,the brothers johnson
the browns,the browns,the browns,the browns
the bubble puppy,the bubble puppy,the bubble puppy,the bubble puppy
the bucketheads,the bucketheads,the bucketheads,the bucketheads
the buckinghams,the buckinghams,the buckinghams,the buckinghams
the buena vistas,the buena vistas,the buena vistas,the buena vistas
the buggles,the buggles,the buggles,the buggles
the buoys,the buoys,the buoys,the buoys
the busters,the busters,the busters,the busters
the butanes,the butanes,the butanes,the butanes
the butterflys,the butterflys,the butterflys,the butterflys
the byrds,the byrds,the byrds,the byrds
the c,the c,the c,the c
the c.o.d.'s,the c.o.d.'s,the c.o.d.s,the c o d s
the caboose,the caboose,the caboose,the caboose
the cadillacs,the cadillacs,the cadillacs,the cadillacs
the california raisins,the california raisins,the california raisins,the california raisins
the call,the call,the call,the call
the calling,the calling,the calling,the calling
the cambridge strings,the cambridge strings,the cambridge strings,the cambridge strings
the cantina b,the cantina b,the cantina b,the cantina b
the capitols,the capitols,the capitols,the capitols
the capris,the capris,the capris,the capris
the captain,the captain,the captain,the captain
the caravelles,the caravelles,the caravelles,the caravelles
the carefrees,the carefrees,the carefrees,the carefrees
the cars,the cars,the cars,the cars
the carters,the carters,the carters,the carters
the cascades,the cascades,the cascades,the cascades
the casinos,the casinos,the casinos,the casinos
the caslons,the caslons,the caslons,the caslons
the castaways,the castaways,the castaways,the castaways
the castells,the castells,the castells,the castells
the castle sisters,the castle sisters,the castle sisters,the castle sisters
the chad mitchell trio,the chad mitchell trio,the chad mitchell trio,the chad mitchell trio
the chainsmokers,the chainsmokers,the chainsmokers,the chainsmokers
the chakachas,the chakachas,the chakachas,the chakachas
the chambers brothers,the chambers brothers,the chambers brothers,the chambers brothers
the champs,the champs,the champs,the champs
the champs' boys orchestra,the champs' boys orchestra,the champs boys orchestra,the champs boys orchestra
the changin' times,the changin' times,the changin times,the changin times
the chantels,the chantels,the chantels,the chantels
the chanters,the chanters,the chanters,the chanters
the chargers,the chargers,the chargers,the chargers
the charles r,the charles r,the charles r,the charles r
the charlie daniels b,the charlie daniels b,the charlie daniels b,the charlie daniels b
the charmettes,the charmettes,the charmettes,the charmettes
the chartbusters,the chartbusters,the chartbusters,the chartbusters
the checkmates,the checkmates,the checkmates,the checkmates
the cheetah girls,the cheetah girls,the cheetah girls,the cheetah girls
the chemical brothers,the chemical brothers,the chemical brothers,the chemical brothers
the cherry people,the cherry people,the cherry people,the cherry people
the chi-lites,the chi-lites,the chi-lites,the chi lites
the chicago bears shufflin' crew,the chicago bears shufflin' crew,the chicago bears shufflin crew,the chicago bears shufflin crew
the chicago loop,the chicago loop,the chicago loop,the chicago loop
the chiffons,the chiffons,the chiffons,the chiffons
the chimes,the chimes,the chimes,the chimes
the chipmunks,the chipmunks,the chipmunks,the chipmunks
the choice four,the choice four,the choice four,the choice four
the choir,the choir,the choir,the choir
the chordettes,the chordettes,the chordettes,the chordettes
the church,the church,the church,the church
the citizens of halloween,the citizens of halloween,the citizens of halloween,the citizens of halloween
the clark family e,the clark family e,the clark family e,the clark family e
the clash,the clash,the clash,the clash
the classics,the classics,the classics,the classics
the cleftones,the cleftones,the cleftones,the cleftones
the click,the click,the click,the click
the click five,the click five,the click five,the click five
the clique,the clique,the clique,the clique
the clovers,the clovers,the clovers,the clovers
the coasters,the coasters,the coasters,the coasters
the college boyz,the college boyz,the college boyz,the college boyz
the commitments,the commitments,the commitments,the commitments
the communards,the communards,the communards,the communards
the conscious daughters,the conscious daughters,the conscious daughters,the conscious daughters
the continental 4,the continental 4,the continental 4,the continental 4
the contours,the contours,the contours,the contours
the cookies,the cookies,the cookies,the cookies
the corrs,the corrs,the corrs,the corrs
the corsairs,the corsairs,the corsairs,the corsairs
the courtship,the courtship,the courtship,the courtship
the cover girls,the cover girls,the cover girls,the cover girls
the cowsills,the cowsills,the cowsills,the cowsills
the crampton sisters,the crampton sisters,the crampton sisters,the crampton sisters
the cranberries,the cranberries,the cranberries,the cranberries
the crazy world of arthur brown,the crazy world of arthur brown,the crazy world of arthur brown,the crazy world of arthur brown
the crescents,the crescents,the crescents,the crescents
the crests,the crests,the crests,the crests
the cretones,the cretones,the cretones,the cretones
the crickets,the crickets,the crickets,the crickets
the critters,the critters,the critters,the critters
the crooklyn dodgers,the crooklyn dodgers,the crooklyn dodgers,the crooklyn dodgers
the crusaders,the crusaders,the crusaders,the crusaders
the cryan' shames,the cryan' shames,the cryan shames,the cryan shames
the crystal mansion,the crystal mansion,the crystal mansion,the crystal mansion
the crystals,the crystals,the crystals,the crystals
the cuff links,the cuff links,the cuff links,the cuff links
the cult,the cult,the cult,the cult
the cupids,the cupids,the cupids,the cupids
the cure,the cure,the cure,the cure
the cyrkle,the cyrkle,the cyrkle,the cyrkle
the danleers,the danleers,the danleers,the danleers
the dartells,the dartells,the dartells,the dartells
the dave brubeck quartet,the dave brubeck quartet,the dave brubeck quartet,the dave brubeck quartet
the dave clark five,the dave clark five,the dave clark five,the dave clark five
the david rockingham trio,the david rockingham trio,the david rockingham trio,the david rockingham trio
the de franco family,the de franco family,the de franco family,the de franco family
the deadly nightshade,the deadly nightshade,the deadly nightshade,the deadly nightshade
the decastro sisters,the decastro sisters,the decastro sisters,the decastro sisters
the deele,the deele,the deele,the deele
the defranco family,the defranco family,the defranco family,the defranco family
the del fuegos,the del fuegos,the del fuegos,the del fuegos
the delacardos,the delacardos,the delacardos,the delacardos
the delegates,the delegates,the delegates,the delegates
the delfonics,the delfonics,the delfonics,the delfonics
the dells,the dells,the dells,the dells
the demensions,the demensions,the demensions,the demensions
the detergents,the detergents,the detergents,the detergents
the devotions,the devotions,the devotions,the devotions
the di,the di,the di,the di
the diamonds,the diamonds,the diamonds,the diamonds
the dillards,the dillards,the dillards,the dillards
the dillman b,the dillman b,the dillman b,the dillman b
the diplomats,the diplomats,the diplomats,the diplomats
the dirt b,the dirt b,the dirt b,the dirt b
the dirty heads,the dirty heads,the dirty heads,the dirty heads
the dolphins,the dolphins,the dolphins,the dolphins
the don harrison b,the don harrison b,the don harrison b,the don harrison b
the doobie brothers,the doobie brothers,the doobie brothers,the doobie brothers
the doolittle b,the doolittle b,the doolittle b,the doolittle b
the doors,the doors,the doors,the doors
the dove shack,the dove shack,the dove shack,the dove shack
the dovells,the dovells,the dovells,the dovells
the dramatics,the dramatics,the dramatics,the dramatics
the dream academy,the dream academy,the dream academy,the dream academy
the dreamlovers,the dreamlovers,the dreamlovers,the dreamlovers
the drew-vels,the drew-vels,the drew-vels,the drew vels
the drifters,the drifters,the drifters,the drifters
the dubs,the dubs,the dubs,the dubs
the dukays,the dukays,the dukays,the dukays
the duke of earl,the duke of earl,the duke of earl,the duke of earl
the duprees,the duprees,the duprees,the duprees
the dyna-sores,the dyna-sores,the dyna-sores,the dyna sores
the dynamics,the dynamics,the dynamics,the dynamics
the dynatones,the dynatones,the dynatones,the dynatones
the e,the e,the e,the e
the earls,the earls,the earls,the earls
the easybeats,the easybeats,the easybeats,the easybeats
the ebonys,the ebonys,the ebonys,the ebonys
the echoes,the echoes,the echoes,the echoes
the edsels,the edsels,the edsels,the edsels
the edwin hawkins' singers,the edwin hawkins' singers,the edwin hawkins singers,the edwin hawkins singers
the electric e,the electric e,the electric e,the electric e
the electric indian,the electric indian,the electric indian,the electric indian
the electric prunes,the electric prunes,the electric prunes,the electric prunes
the elegants,the elegants,the elegants,the elegants
the eleventh hour,the eleventh hour,the eleventh hour,the eleventh hour
the elgins,the elgins,the elgins,the elgins
the elton john b,the elton john b,the elton john b,the elton john b
the emotions,the emotions,the emotions,the emotions
the emperor's,the emperor's,the emperors,the emperors
the enchanters,the enchanters,the enchanters,the enchanters
the english congregation,the english congregation,the english congregation,the english congregation
the epic splendor,the epic splendor,the epic splendor,the epic splendor
the equals,the equals,the equals,the equals
the escape club,the escape club,the escape club,the escape club
the esquires,the esquires,the esquires,the esquires
the esse,the esse,the esse,the esse
the eternals,the eternals,the eternals,the eternals
the everly brothers,the everly brothers,the everly brothers,the everly brothers
the fabulous rhinestones,the fabulous rhinestones,the fabulous rhinestones,the fabulous rhinestones
the fabulous thunderbirds,the fabulous thunderbirds,the fabulous thunderbirds,the fabulous thunderbirds
the falcons,the falcons,the falcons,the falcons
the family,the family,the family,the family
the fantastic four,the fantastic four,the fantastic four,the fantastic four
the fantastic johnny c,the fantastic johnny c,the fantastic johnny c,the fantastic johnny c
the fantastics,the fantastics,the fantastics,the fantastics
the faragher bros.,the faragher bros.,the faragher bros.,the faragher bros
the farm,the farm,the farm,the farm
the fascinations,the fascinations,the fascinations,the fascinations
the fendermen,the fendermen,the fendermen,the fendermen
the fi,the fi,the fi,the fi
the fiestas,the fiestas,the fiestas,the fiestas
the fifth estate,the fifth estate,the fifth estate,the fifth estate
the finatticz,the finatticz,the finatticz,the finatticz
the fireballs,the fireballs,the fireballs,the fireballs
the fireflies,the fireflies,the fireflies,the fireflies
the firm,the firm,the firm,the firm
the first class,the first class,the first class,the first class
the first edition,the first edition,the first edition,the first edition
the five americans,the five americans,the five americans,the five americans
the five blobs,the five blobs,the five blobs,the five blobs
the five du-tones,the five du-tones,the five du-tones,the five du tones
the five emprees,the five emprees,the five emprees,the five emprees
the five satins,the five satins,the five satins,the five satins
the five stairsteps,the five stairsteps,the five stairsteps,the five stairsteps
the flame,the flame,the flame,the flame
the flaming ember,the flaming ember,the flaming ember,the flaming ember
the flaming lips,the flaming lips,the flaming lips,the flaming lips
the flamingos,the flamingos,the flamingos,the flamingos
the flares,the flares,the flares,the flares
the flavor unit mc's,the flavor unit mc's,the flavor unit mcs,the flavor unit mcs
the fleetwoods,the fleetwoods,the fleetwoods,the fleetwoods
the flirtations,the flirtations,the flirtations,the flirtations
the floaters,the floaters,the floaters,the floaters
the flying lizards,the flying lizards,the flying lizards,the flying lizards
the flying machine,the flying machine,the flying machine,the flying machine
the fontane sisters,the fontane sisters,the fontane sisters,the fontane sisters
the fools,the fools,the fools,the fools
the formations,the formations,the formations,the formations
the fortunes,the fortunes,the fortunes,the fortunes
the forum,the forum,the forum,the forum
the foundations,the foundations,the foundations,the foundations
the four aces,the four aces,the four aces,the four aces
the four coins,the four coins,the four coins,the four coins
the four esquires,the four esquires,the four esquires,the four esquires
the four knights,the four knights,the four knights,the four knights
the four lads,the four lads,the four lads,the four lads
the four pennies,the four pennies,the four pennies,the four pennies
the four preps,the four preps,the four preps,the four preps
the four sonics,the four sonics,the four sonics,the four sonics
the four sportsmen,the four sportsmen,the four sportsmen,the four sportsmen
