artist,l1,l2,l3,matched_name,spotify_artist_id,genres
the sapphires,the sapphires,the sapphires,the sapphires,The Sapphires,7hsuVq0DQonl3PnP7qkfvP,northern soul;philly soul;doo-wop
the satisfactions,the satisfactions,the satisfactions,the satisfactions,The Satisfactions,4pkccTSqZn4jlFoGMTsuhR,northern soul;surf rock
the scaffold,the scaffold,the scaffold,the scaffold,The Scaffold,2VaniQ30BeId1MM6RzmHNc,
the scotts,the scotts,the scotts,the scotts,THE SCOTTS,2PaZWGu5T5nHjY2xxAkFsT,
the script,the script,the script,the script,The Script,3AQRLZ9PuTAozP28Skbq8V,
the searchers,the searchers,the searchers,the searchers,The Searchers,4QmkLL9JOqM9dusHS1Hghe,
the secrets,the secrets,the secrets,the secrets,The Dirty Secrets,53Lg9CZv17eNcyZvzvg8tM,
the seeds,the seeds,the seeds,the seeds,Nick Cave & The Bad Seeds,4UXJsSlnKd7ltsrHebV79Q,
the seekers,the seekers,the seekers,the seekers,The Seekers,7dedWAqd0IKTdCiqiadUrV,
the sensations,the sensations,the sensations,the sensations,The Sensations,4GMJW3J7BYjxIzZhIVj9o5,northern soul;doo-wop
the serendipity singers,the serendipity singers,the serendipity singers,the serendipity singers,The Serendipity Singers,60mbIWU4hFqNwuTFE1jPku,folk
the sevilles,the sevilles,the sevilles,the sevilles,The Sevilles,2c4EN2lNPD58SX8NPCLQBI,doo-wop
the shacklefords,the shacklefords,the shacklefords,the shacklefords,,,
the shades of blue,the shades of blue,the shades of blue,the shades of blue,Pierce Dipner and the Shades of Blue,15oodukiYQuKJa0nztJpOc,
the shadows of knight,the shadows of knight,the shadows of knight,the shadows of knight,The Shadows Of Knight,0NRN3tnDVDspHMCfyu2ZwT,garage rock;proto-punk;acid rock;psychedelic rock
the shamen,the shamen,the shamen,the shamen,The Shamen,5E704N5StxMVKpalhaJ5L3,acid house;madchester
the shangri-las,the shangri-las,the shangri-las,the shangri las,The Shangri-Las,1WvziZcLLYLoMMdmQx7qcN,doo-wop
the sheep,the sheep,the sheep,the sheep,The Sheepdogs,4U33udokhmKATsu8UoqUEN,blues rock
the shells,the shells,the shells,the shells,The Shells,7ywuUxIhs0wsrflxhUhvNb,doo-wop
the shepherd sisters,the shepherd sisters,the shepherd sisters,the shepherd sisters,The Shepherd Sisters,5mi9CjHA1iOxChizM9fpLL,doo-wop
the sherrys,the sherrys,the sherrys,the sherrys,The Sherrys,3Q79TT5hvYZMPqdvalkmCi,northern soul;philly soul;doo-wop
the shields,the shields,the shields,the shields,The Shields.,2o4PkDbTkNXEtYDUwWTnsU,
the shindogs,the shindogs,the shindogs,the shindogs,The Shindogs,7cuPNQHMMKo7IIh2n08FWf,
the shins,the shins,the shins,the shins,The Shins,4LG4Bs1Gadht7TCrMytQUO,indie;indie pop
the shirelles,the shirelles,the shirelles,the shirelles,The Shirelles,0x83OBqixqdCHnStP5VMcn,doo-wop;motown
the shocking blue,the shocking blue,the shocking blue,the shocking blue,,,
the show stoppers,the show stoppers,the show stoppers,the show stoppers,The Mighty Show-stoppers,6F3N8cG6j8WgLBrvYiNNFk,breakbeat
the showmen,the showmen,the showmen,the showmen,The Showmen,31w23Dr0NHugbNF2TQe6xz,northern soul;doo-wop
the sidekicks,the sidekicks,the sidekicks,the sidekicks,The Sidekicks,0cuataW2AnHzeTbA2ERBYI,bluegrass;newgrass
the silencers,the silencers,the silencers,the silencers,The Silencers,1RD6l0Su0sCzSHZGxPeU3d,celtic rock
the silkie,the silkie,the silkie,the silkie,The Silkies,1aombEPpQvi0zy5h7etuac,
the simon sisters,the simon sisters,the simon sisters,the simon sisters,The Simon Sisters,0MgiMwoxbip7wL5pgp8NRx,traditional folk
