artist,l1,l2,l3,matched_name,spotify_artist_id,genres_raw,genre_main,inferred_from,confidence
e.u.,e.u.,e.u.,e u,Brooks & Dunn,0XKOBt59crntr7HQXXO8Yz,acoustic country;classic country;country;honky tonk,Country,direct,1.0
eagle-eye cherry,eagle-eye cherry,eagle-eye cherry,eagle eye cherry,Eagle-Eye Cherry,3ngKsDXZAssmljeXCvEgOe,,,none,0.0
eagles,eagles,eagles,eagles,Eagles,0ECwFtbIWEVNwjlrfc6xoL,classic rock;soft rock;yacht rock,Rock,direct,1.0
eamon,eamon,eamon,eamon,Eamon,1y20PpXw0yeuJ1avCD0Ob9,,,none,0.0
earl grant,earl grant,earl grant,earl grant,Earl Grant,0k3XbZNQTR8KVW2yWyJDDx,swing music,Jazz,direct,1.0
earl-jean,earl-jean,earl-jean,earl jean,Earl-Jean,4JwYcQd56zyNJLLfr9u0Rf,,,none,0.0
earnest jackson,earnest jackson,earnest jackson,earnest jackson,Earnest Jackson,5pXRWt2xs9uVuBO2n49jrm,blues;classic blues,Blues,direct,1.0
earth,earth,earth,earth,"Earth, Wind & Fire",4QQgXkCYTt3BlENzhyNETg,disco;funk,RnB,direct,1.0
earth opera,earth opera,earth opera,earth opera,Earth Opera,0jm51WxuFGKGGuPZbFaC2X,acid rock;baroque pop;garage rock;psychedelic rock,Rock,direct,1.0
eartha kitt,eartha kitt,eartha kitt,eartha kitt,Eartha Kitt,1AwO9pWEBSBoWdEZu28XDC,christmas,Other,direct,1.0
east coast family,east coast family,east coast family,east coast family,,,,,none,0.0
east l.a. car pool,east l.a. car pool,east l.a. car pool,east l a car pool,,,,,none,0.0
easterhouse,easterhouse,easterhouse,easterhouse,Easterhouse,3BB7vYm43d1f6u6qFyhiZ7,jangle pop,Pop,direct,1.0
easton corbin,easton corbin,easton corbin,easton corbin,Easton Corbin,070kGpqtESdDsLb3gdMIyx,acoustic country;country,Country,direct,1.0
easy street,easy street,easy street,easy street,The Easy Street Band,3KksvIuTkTjmsqP8oGVUW1,aor;arena rock,Rock,direct,1.0
eazy-e,eazy-e,eazy-e,eazy e,G-Eazy,02kJSzxNuaWGqwubyUba0Z,,,none,0.0
echosmith,echosmith,echosmith,echosmith,Echosmith,1PbBg2aYjWLKRk84zJK15x,,,none,0.0
ecstasy,ecstasy,ecstasy,ecstasy,Elephants Love Ecstasy,6t5WIyrv0J765ESrAedVfk,,,none,0.0
ed ames,ed ames,ed ames,ed ames,Ed Ames,1iBpJEBrSFXCtPOc5OUZiY,adult standards;easy listening,Other,direct,1.0
ed sheeran,ed sheeran,ed sheeran,ed sheeran,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,soft pop,Pop,direct,1.0
ed townsend,ed townsend,ed townsend,ed townsend,Ed Townsend,4fgbkjDCSGUHANHRope4Ox,doo-wop,Other,direct,1.0
edd byrnes,edd byrnes,edd byrnes,edd byrnes,Connie Stevens with Edd Byrnes,0P1VRPiiJ0NeFTITXa6aZi,,,none,0.0
eddie,eddie,eddie,eddie,Eddie Santiago,5Wg6XnPTp0xXxFCjywwR9I,merengue;salsa,Latin,direct,1.0
eddie bo,eddie bo,eddie bo,eddie bo,Eddie Bo,6yJkbSRofSN6kk4BWaqlax,,,none,0.0
eddie cochran,eddie cochran,eddie cochran,eddie cochran,Eddie Cochran,1p0t3JtUTayV2wb1RGN9mO,doo-wop;rock and roll;rockabilly,Rock,direct,1.0
eddie fisher,eddie fisher,eddie fisher,eddie fisher,Eddie Fisher,6bHSJldq5J4lYowHOm9OOX,adult standards,Other,direct,1.0
eddie floyd,eddie floyd,eddie floyd,eddie floyd,Eddie Floyd,6Bfy6QzadCXS92y0T8dDZF,classic soul;motown;northern soul;soul,RnB,direct,1.0
eddie fontaine,eddie fontaine,eddie fontaine,eddie fontaine,Eddie Fontaine,2OJEqa0vH3epErNtguOFFp,rock and roll;rockabilly,Rock,direct,1.0
eddie harris,eddie harris,eddie harris,eddie harris,Eddie Harris,0bcDOCWIbvWApEIB7l1uZ4,hard bop;jazz;jazz funk;soul jazz,RnB,direct,1.0
eddie hodges,eddie hodges,eddie hodges,eddie hodges,Eddie Hodges,3JJYPOCM13Id9iZHtkwkI5,,,none,0.0
eddie holl,eddie holl,eddie holl,eddie holl,Eddie Holland,2BgyJtxoixkegtJX6HqT4w,classic soul;motown;northern soul,RnB,direct,1.0
eddie holman,eddie holman,eddie holman,eddie holman,Eddie Holman,4hLuzWVCPicO3nNHfFvB32,classic soul;northern soul;philly soul,RnB,direct,1.0
eddie kendricks,eddie kendricks,eddie kendricks,eddie kendricks,Eddie Kendricks,2Uuon75BhnuuxdKLYn4wHn,classic soul;motown;philly soul;soul,RnB,direct,1.0
eddie lovette,eddie lovette,eddie lovette,eddie lovette,Eddie Lovette,7Fd1nidunOjfHBD87iU1ZI,lovers rock;nz reggae;reggae;roots reggae,Reggae,direct,1.0
eddie money,eddie money,eddie money,eddie money,Eddie Money,4Tw2N3wdvJPGEU7JqMxFfE,classic rock;yacht rock,Rock,direct,1.0
eddie money (,eddie money (,eddie money (,eddie money,Eddie Money,4Tw2N3wdvJPGEU7JqMxFfE,classic rock;yacht rock,Rock,direct,1.0
eddie murphy,eddie murphy,eddie murphy,eddie murphy,Eddie Murphy,1Zq8pfBl4ejCMrWdeAdphc,comedy,Other,direct,1.0
eddie rabbitt,eddie rabbitt,eddie rabbitt,eddie rabbitt,Eddie Rabbitt,0jgAONnsHxrwAlhkMUVS78,classic country,Country,direct,1.0
eddie rambeau,eddie rambeau,eddie rambeau,eddie rambeau,Eddie Rambeau,2vzeZ315ZAIWYRooH58Oid,,,none,0.0
eddie schwartz,eddie schwartz,eddie schwartz,eddie schwartz,Eddie Schwartz,6fJGQ0FutKyoxsQPP806wA,,,none,0.0
eddie vedder,eddie vedder,eddie vedder,eddie vedder,Eddie Vedder,0mXTJETA4XUa12MmmXxZJh,,,none,0.0
eddy arnold,eddy arnold,eddy arnold,eddy arnold,Eddy Arnold,5QsUbpxSE8lCZ5ga5rnD22,classic country;traditional country,Country,direct,1.0
eddy grant,eddy grant,eddy grant,eddy grant,Eddy Grant,6j2HWcd7z61iTLbi8eD0hA,,,none,0.0
eden's crush,eden's crush,edens crush,edens crush,Eden's Crush,48VMsTwTzdzKc1aKcMnIbH,,,none,0.0
edens edge,edens edge,edens edge,edens edge,Edens Edge,6KAwb5D0KanI575XxOucMt,,,none,0.0
edgar winter,edgar winter,edgar winter,edgar winter,The Edgar Winter Group,7j9PMegEgVN1fNp8NZXNCI,classic rock,Rock,direct,1.0
edgar winter group,edgar winter group,edgar winter group,edgar winter group,The Edgar Winter Group,7j9PMegEgVN1fNp8NZXNCI,classic rock,Rock,direct,1.0
edgar winter's white trash,edgar winter's white trash,edgar winters white trash,edgar winters white trash,Edgar Winter's White Trash,4uOdVRRuTWjJVkcN0LXxwL,classic rock,Rock,direct,1.0
edie brickell,edie brickell,edie brickell,edie brickell,Edie Brickell & New Bohemians,4awU3JRQXIYoxabdwO92AU,,,none,0.0
edison lighthouse,edison lighthouse,edison lighthouse,edison lighthouse,Edison Lighthouse,1NRzxuPpdGushT8YmF5NAa,,,none,0.0
edith piaf,edith piaf,edith piaf,edith piaf,Édith Piaf,1WPcVNert9hn7mHsPKDn7j,chanson;french jazz;variété française,Jazz,direct,1.0
edmundo ros,edmundo ros,edmundo ros,edmundo ros,Edmundo Ros & His Orchestra,3CbSEqhKsYhEVQBj1tF1Kv,cha cha cha;exotica;orchestral;samba,Classical,direct,1.0
edward bear,edward bear,edward bear,edward bear,Edward Bear,5IVNNR05uQhrkBIogJtQD8,,,none,0.0
edward byrnes,edward byrnes,edward byrnes,edward byrnes,Edward Byrnes,3dFdFN11yGDpMjlIy99BdC,,,none,0.0
edward maya,edward maya,edward maya,edward maya,Edward Maya,6XwwFnewNgWp81MYMK8zLq,,,none,0.0
edwin mccain,edwin mccain,edwin mccain,edwin mccain,Edwin McCain,0L6Gwm0JDrgIQJfjarWSUR,,,none,0.0
edwin starr,edwin starr,edwin starr,edwin starr,Edwin Starr,1B8AXU6gIIafpyLEpbcv1u,classic soul;motown;northern soul,RnB,direct,1.0
edwyn collins,edwyn collins,edwyn collins,edwyn collins,Edwyn Collins,5Qlt3zQ63Z99mNhuun0JAT,britpop,Pop,direct,1.0
eiffel 65,eiffel 65,eiffel 65,eiffel 65,Eiffel 65,64rxQRJsLgZwHHyWKB8fiF,eurodance;europop;italo dance,Pop,direct,1.0
eight seconds,eight seconds,eight seconds,eight seconds,Eight Seconds,5NyWh5meFjg89p4dkCvDdJ,new wave,Other,direct,1.0
eighth wonder,eighth wonder,eighth wonder,eighth wonder,Eighth Wonder,67drSMarzjhEXxEJ2ATLfE,italo disco,Other,direct,1.0
eileen rodgers,eileen rodgers,eileen rodgers,eileen rodgers,Eileen Rodgers,5U6AFHwdlMoOHEPmRQxTsN,,,none,0.0
eivets rednow,eivets rednow,eivets rednow,eivets rednow,,,,,none,0.0
el alfa,el alfa,el alfa,el alfa,El Alfa,2oQX8QiMXOyuqbcZEFsZfm,dembow;latin;urbano latino,Latin,direct,1.0
el chicano,el chicano,el chicano,el chicano,El Chicano,3vkhZMoCdp5lBgrk9l2nCL,latin jazz,Jazz,direct,1.0
el coco,el coco,el coco,el coco,EL MAESTRO COCO,00xwvPcBnEvgOvMH9oThr5,,,none,0.0
el debarge,el debarge,el debarge,el debarge,El DeBarge,5xO4f5QyPMYnCPRyRveBSD,new jack swing,RnB,direct,1.0
eladio carrion,eladio carrion,eladio carrion,eladio carrion,Eladio Carrion,5XJDexmWFLWOkjOEjOVX3e,trap;trap latino;urbano latino,Latin,direct,1.0
elastica,elastica,elastica,elastica,Elastica,3l14gV4hIMAjmo7KUvEWTx,britpop,Pop,direct,1.0
electric boys,electric boys,electric boys,electric boys,Electric Boys,0zRRk9Oe6owoIi3cY5yWk4,aor;funk rock;glam metal;glam rock,Rock,direct,1.0
electric light orchestra,electric light orchestra,electric light orchestra,electric light orchestra,Electric Light Orchestra,7jefIIksOi1EazgRTfW2Pk,art rock,Rock,direct,1.0
electronic,electronic,electronic,electronic,electronic kili,6S9pxoEBK0Mczr3qE8H0GX,malayalam hip hop;malayalam pop;mollywood,Pop,direct,1.0
elephant man,elephant man,elephant man,elephant man,Elephant Man,6NOvBZrkd83MSD51xkq4on,dancehall;ragga;reggae;riddim;soca,Reggae,direct,1.0
elephant's memory,elephant's memory,elephants memory,elephants memory,Elephants Memory,7vlen6lzkmCst6naOmK3Et,acid rock;psychedelic rock,Rock,direct,1.0
eli young b,eli young b,eli young b,eli young b,Eli Young Band,6eKWqnckwdIlSnjaYgIyxv,acoustic country;country;red dirt;texas country,Country,direct,1.0
elisa fiorillo,elisa fiorillo,elisa fiorillo,elisa fiorillo,Elisa Fiorillo,5jDPhc8LxXtyTcrdN9QgY2,,,none,0.0
ella fitzgerald,ella fitzgerald,ella fitzgerald,ella fitzgerald,Ella Fitzgerald,5V0MlUE1Bft0mbLlND7FJz,big band;christmas;jazz;jazz blues;swing music;vocal jazz,Jazz,direct,1.0
ella henderson,ella henderson,ella henderson,ella henderson,Ella Henderson,7nDsS0l5ZAzMedVRKPP8F1,,,none,0.0
ella johnson,ella johnson,ella johnson,ella johnson,Buddy & Ella Johnson,17Z8L8nhCrjHA1NvQYS5OI,boogie;boogie-woogie;swing music,Jazz,direct,1.0
ella langley,ella langley,ella langley,ella langley,Ella Langley,6BRxQ8cD3eqnrVj6WKDok8,country,Country,direct,1.0
ella mai,ella mai,ella mai,ella mai,Ella Mai,7HkdQ0gt53LP4zmHsL0nap,r&b,RnB,direct,1.0
ella washington,ella washington,ella washington,ella washington,Ella Washington,4IJouZNBBYaHVRJnLXPfta,soul,RnB,direct,1.0
elle king,elle king,elle king,elle king,Elle King,3bhu7P5PfngueRHiB9hjcx,,,none,0.0
ellen foley,ellen foley,ellen foley,ellen foley,Ellen Foley,0puypnsWTRY3cwySIyMjhe,,,none,0.0
ellie goulding,ellie goulding,ellie goulding,ellie goulding,Ellie Goulding,0X2BH1fck6amBIoJhDVmmJ,,,none,0.0
ellie greenwich,ellie greenwich,ellie greenwich,ellie greenwich,Ellie Greenwich,7ndXQ4XNWOzIPq3ElQhrEP,northern soul,RnB,direct,1.0
elliott yamin,elliott yamin,elliott yamin,elliott yamin,Elliott Yamin,4am1I89OWXUzFh4ctRLkdd,,,none,0.0
ellison chase,ellison chase,ellison chase,ellison chase,Ellison Chase,56ZviRSpL1HbcpUvb6hnVz,,,none,0.0
elmo,elmo,elmo,elmo,Artist Moon,1TfSVLC8KtuIo6uWNqCbqU,,,none,0.0
eloise laws,eloise laws,eloise laws,eloise laws,Eloise Laws,4RJjnfYCmudnzG5AyMVnte,northern soul,RnB,direct,1.0
elton,elton,elton,elton,Elton John,3PhoLpVuITZKcymswpck5b,,,none,0.0
