artist,l1,l2,l3,matched_name,spotify_artist_id,genres_raw,source,matched_from,last_chart_year,genre_main
steve sperry,steve sperry,steve sperry,steve sperry,Steve Sperry,5YIc0yYttAqxKAlJTPGG4Q,,none,artist,1977,
steve wariner,steve wariner,steve wariner,steve wariner,Steve Wariner,45S8rtgQSxj1a0tzCNhSeD,classic country;country;traditional country,spotify,artist,1999,Country
steve winwood,steve winwood,steve winwood,steve winwood,Steve Winwood,5gxynDEKwNDgxGJmJjZyte,yacht rock;soft rock,spotify,artist,1991,Rock
steven tyler,steven tyler,steven tyler,steven tyler,Steven Tyler,32zks9ovi0IExzUd1C7W6o,rock;hard rock,musicbrainz,artist,2015,Rock
stevie b,stevie b,stevie b,stevie b,Stevie B,6V7pNWhlJpD0s0bMdB1PU9,funk melody;freestyle;miami bass;latin hip hop,spotify,artist,1995,HipHop
stevie nicks,stevie nicks,stevie nicks,stevie nicks,Stevie Nicks,7crPfGd2k81ekOoSqQKWWz,rock;pop rock;pop;country rock;singer-songwriter,musicbrainz,artist,1994,Rock
stevie nicks with don henley,stevie nicks with don henley,stevie nicks,stevie nicks,Stevie Nicks,7crPfGd2k81ekOoSqQKWWz,rock;pop rock;pop;country rock;singer-songwriter,musicbrainz,l2,1982,Rock
stevie nicks with tom petty and the heartbreakers,stevie nicks with tom petty and the heartbreakers,stevie nicks,stevie nicks,Stevie Nicks,7crPfGd2k81ekOoSqQKWWz,rock;pop rock;pop;country rock;singer-songwriter,musicbrainz,l2,1981,Rock
stevie wonder,stevie wonder,stevie wonder,stevie wonder,Stevie Wonder,7guDJrEfX3qb6FEbdPA5qi,motown;classic soul;soul,spotify,artist,2005,RnB
stevie wonder & michael jackson,stevie wonder & michael jackson,stevie wonder,stevie wonder,Stevie Wonder,7guDJrEfX3qb6FEbdPA5qi,motown;classic soul;soul,spotify,l2,1988,RnB
stevie woods,stevie woods,stevie woods,stevie woods,Stevie Woods,4ReLjO7IQ9EehWClyzlPds,yacht rock;aor;soft rock,spotify,artist,1982,Rock
stillwater,stillwater,stillwater,stillwater,Stillwater,2P0AnWmwKPfEPtVebL2LDe,,none,artist,1978,
sting,sting,sting,sting,Sting,0Ty63ceoRnnJKVEYP0VQpk,soft rock,spotify,artist,1996,Rock
sting & the police,sting & the police,sting,sting,Sting,0Ty63ceoRnnJKVEYP0VQpk,soft rock,spotify,l2,1998,Rock
sting featuring cheb mami,sting,sting,sting,Sting,0Ty63ceoRnnJKVEYP0VQpk,soft rock,spotify,l1,2000,Rock
stone poneys featuring linda ronstadt,stone poneys,stone poneys,stone poneys,Stone Poneys,2X9nnux4eS3CFBDSjcnoBQ,baroque pop,spotify,l1,1968,Pop
stone sour,stone sour,stone sour,stone sour,Stone Sour,49qiE8dj4JuNdpYGRPdKbF,post-grunge;alternative metal;nu metal,spotify,artist,2007,Rock
stone temple pilots,stone temple pilots,stone temple pilots,stone temple pilots,Stone Temple Pilots,2UazAtjfzqBF0Nho2awK4z,grunge;alternative rock;post-grunge;rock,spotify,artist,2000,Rock
stonebolt,stonebolt,stonebolt,stonebolt,,,,none,,1979,
stonewall jackson,stonewall jackson,stonewall jackson,stonewall jackson,Stonewall Jackson,0NqxUSg57tX1o1WG7VU1Vp,classic country;honky tonk;traditional country,spotify,artist,1960,Country
stoney & meatloaf,stoney & meatloaf,stoney,stoney,Stoney,2VUXN4uwKPz4iDguepvRzQ,motown,spotify,l2,1971,
