artist,l1,l2,l3,matched_name,spotify_artist_id,genres_raw,source,matched_from,last_chart_year
loleatta holloway and bunny sigler,loleatta holloway and bunny sigler,loleatta holloway,loleatta holloway,Loleatta Holloway,3m5hegxlB80Z2zQb1893pc,philly soul;disco;chicago house;post-disco;disco house,spotify,l2,1978
lolita,lolita,lolita,lolita,Lolita,1Jl0XzEt7csnco2FUybCrK,flamenco,spotify,artist,1961
london symphony orchestra,london symphony orchestra,london symphony orchestra,london symphony orchestra,London Symphony Orchestra,3zOgi7zGSnBIT7J6O2Tr9b,,none,artist,1977
londonbeat,londonbeat,londonbeat,londonbeat,Londonbeat,0gcMPgunYh4rX1UOdvZKBn,eurodance,spotify,artist,1995
lone justice,lone justice,lone justice,lone justice,Lone Justice,2OFpmma3V9yxT5XXgytGns,alt country;country rock;roots rock,spotify,artist,1987
lonestar,lonestar,lonestar,lonestar,Lonestar,3qbnxnvUqR14MJ9g8QwZJK,country,spotify,artist,2006
long john baldry,long john baldry,long john baldry,long john baldry,Long John Baldry,5x9DWz6SpEVu9NgL8aktm2,uk r&b;northern soul,spotify,artist,1968
long john baldry & kathi macdonald,long john baldry & kathi macdonald,long john baldry,long john baldry,Long John Baldry,5x9DWz6SpEVu9NgL8aktm2,uk r&b;northern soul,spotify,l2,1979
lonnie donegan and his skiffle group,lonnie donegan and his skiffle group,lonnie donegan,lonnie donegan,Lonnie Donegan,6dIOTeSQDBSR6gwsL0WB2n,,none,l2,1961
lonnie gordon,lonnie gordon,lonnie gordon,lonnie gordon,Lonnie Gordon,34ugek7kTxRhRSsT1d9Yer,,none,artist,1993
lonnie mack,lonnie mack,lonnie mack,lonnie mack,Lonnie Mack,52GxmJdAcByy1ZyPivpUns,blues;blues rock;modern blues;classic blues,spotify,artist,1965
lonnie russ,lonnie russ,lonnie russ,lonnie russ,Lonnie Russ,2aM7izVFCeKxS9MvpOGUt1,northern soul,spotify,artist,1963
lonzo and world class wreckin kru,lonzo and world class wreckin kru,lonzo,lonzo,Lonzo,53t1BD3C1JqceWPZR5Boxu,,none,l2,1988
looking glass,looking glass,looking glass,looking glass,Looking Glass,5jJN1nmKXzRjodMl1THQeI,yacht rock,spotify,artist,1973
loon featuring kelis,loon,loon,loon,Loon,2gie1bU1LwnxdFAJoTLjzT,,none,l1,2003
loose ends,loose ends,loose ends,loose ends,Loose Ends,4q3lWHEW55hoLJNzZskFVo,post-disco;new jack swing,spotify,artist,1985
lord huron,lord huron,lord huron,lord huron,Lord Huron,6ltzsmQQbmdoHHbLZ4ZN25,,none,artist,2017
lord rockingham's xi,lord rockingham's xi,lord rockingham's xi,lord rockinghams xi,,,,none,,1958
lord tariq & peter gunz,lord tariq & peter gunz,lord tariq,lord tariq,Lord Tariq & Peter Gunz,0aRRoJI9dy8GJ8t2SvlSos,,none,artist,1998
lorde,lorde,lorde,lorde,Lorde,163tK9Wjr9P9DmM0AVK7lm,,none,artist,2025
"lorde featuring khalid, post malone & sza",lorde,lorde,lorde,Lorde,163tK9Wjr9P9DmM0AVK7lm,,none,l1,2017
lords of the underground,lords of the underground,lords of the underground,lords of the underground,Lords Of The Underground,17Q9sCBpIyS6yM2YyaI6R4,east coast hip hop;old school hip hop,spotify,artist,1995
loreena mckennitt,loreena mckennitt,loreena mckennitt,loreena mckennitt,Loreena McKennitt,1JdeDdujDbS6ZeSlkXqx3a,celtic;new age;medieval,spotify,artist,1998
loren allred,loren allred,loren allred,loren allred,Loren Allred,0LyOADBjj28cbvJWTXUEGA,,none,artist,2018
lorenzo lamas,lorenzo lamas,lorenzo lamas,lorenzo lamas,,,,none,,1985
loretta lynn,loretta lynn,loretta lynn,loretta lynn,Loretta Lynn,1FE0rls8gfQT3laAeRYNgl,classic country;honky tonk;country;christian country;traditional country,spotify,artist,1975
lorne greene,lorne greene,lorne greene,lorne greene,Lorne Greene,7CHyTolf8RTuUaW4yYV52d,,none,artist,1965
lorraine ellison,lorraine ellison,lorraine ellison,lorraine ellison,Lorraine Ellison,7h38QSSoFKgb7WgNC7cZp0,northern soul,spotify,artist,1967
lorrie morgan,lorrie morgan,lorrie morgan,lorrie morgan,Lorrie Morgan,0khzcQ6PQU5a6dl1Qss3pt,classic country;country,spotify,artist,1997
los bravos,los bravos,los bravos,los bravos,Los Bravos,7ewJCECkpkh56w0Y4VWzSY,,none,artist,1968
los del mar,los del mar,los del mar,los del mar,Los Del Mar,3W9geOv9EsI71zPr8b78BW,,none,artist,1996
los indios tabajaras,los indios tabajaras,los indios tabajaras,los indios tabajaras,Los Indios Tabajaras,1TKifb1r4wnGbY5CYIwjGb,latin folklore,spotify,artist,1964
"los legendarios, wisin & jhay cortez","los legendarios, wisin & jhay cortez",los legendarios,los legendarios,Los Legendarios,0n6sKrG0xKAf8xmdqeNGke,reggaeton,spotify,l2,2021
los lobos,los lobos,los lobos,los lobos,Los Lobos,6OWapcJm9xd55ci9CYbAuT,roots rock,spotify,artist,1987
los lonely boys,los lonely boys,los lonely boys,los lonely boys,Los Lonely Boys,4aSEmLLxLX9wR5aLMllOKj,,none,artist,2004
los pop tops,los pop tops,los pop tops,los pop tops,,,,none,,1968
los umbrellos,los umbrellos,los umbrellos,los umbrellos,Los Umbrellos,7JWwBuWYzSiCv1vhx3N88X,,none,artist,1998
los del rio,los del rio,los del rio,los del rio,Los Del Rio,2JXn03fudjyRkQ1Ye9f5rk,,none,artist,1997
lost boyz,lost boyz,lost boyz,lost boyz,Lost Boyz,0OtigLoCgLYvXnMxbE5qH5,east coast hip hop;old school hip hop,spotify,artist,1997
lostprophets,lostprophets,lostprophets,lostprophets,lostprophets,7KnaZr690xW0sCihF9Z8oP,,none,artist,2004
lou bega,lou bega,lou bega,lou bega,Lou Bega,46lnlnlU0dXTDpoAUmH6Qx,,none,artist,2000
lou christie,lou christie,lou christie,lou christie,Lou Christie,5bLcI9Jo6RyrrHzG9veVyn,doo-wop,spotify,artist,1974
lou courtney,lou courtney,lou courtney,lou courtney,Lou Courtney,7fSioNqpL8eXp9IJoPcKP4,northern soul;classic soul,spotify,artist,1967
lou donaldson,lou donaldson,lou donaldson,lou donaldson,Lou Donaldson,063xkuRULzZu8fcoPR2rKR,hard bop;jazz;soul jazz;bebop;jazz funk,spotify,artist,1967
lou gramm,lou gramm,lou gramm,lou gramm,Lou Gramm,7CnmC3gRgLev4I609BrSxj,aor;arena rock,spotify,artist,1990
lou johnson,lou johnson,lou johnson,lou johnson,Lou Johnson,2nrn5Hfpxg0SfuVLbnHwoL,northern soul,spotify,artist,1966
lou monte,lou monte,lou monte,lou monte,Lou Monte,7dbKeVkihtOifdiu7f3rUg,christmas,spotify,artist,1963
lou rawls,lou rawls,lou rawls,lou rawls,Lou Rawls,1zJBFCev9UwOMcrZsLi2od,philly soul;soul blues;classic soul,spotify,artist,1983
lou reed,lou reed,lou reed,lou reed,Lou Reed,42TFhl7WlMRXiNqzSrnzPL,glam rock;proto-punk;art rock,spotify,artist,1973
loud luxury featuring brando,loud luxury,loud luxury,loud luxury,Loud Luxury,6t1gpxYbY8OlLA7D2RiikQ,,none,l1,2019
loudon wainwright iii,loudon wainwright iii,loudon wainwright iii,loudon wainwright iii,Loudon Wainwright III,3loACRmkzdtOMNJEaB6j8L,folk;singer-songwriter,spotify,artist,1973
louie louie,louie louie,louie louie,louie louie,,,,none,,1990
louis armstrong,louis armstrong,louis armstrong,louis armstrong,Louis Armstrong,19eLuQmk9aCobbVDHc6eek,jazz;swing music;big band;vocal jazz;jazz blues,spotify,artist,1988
louis armstrong and the all stars,louis armstrong and the all stars,louis armstrong,louis armstrong,Louis Armstrong,19eLuQmk9aCobbVDHc6eek,jazz;swing music;big band;vocal jazz;jazz blues,spotify,l2,1964
louis prima,louis prima,louis prima,louis prima,Louis Prima,52lBOxCxbJg0ttXEW9CQpW,swing music;big band,spotify,artist,1961
louis prima and keely smith,louis prima and keely smith,louis prima,louis prima,Louis Prima,52lBOxCxbJg0ttXEW9CQpW,swing music;big band,spotify,l2,1959
louis tomlinson featuring bebe rexha & digital farm animals,louis tomlinson,louis tomlinson,louis tomlinson,Louis Tomlinson,57WHJIHrjOE3iAxpihhMnp,,none,l1,2017
louise brown,louise brown,louise brown,louise brown,Louise Brown,1h3lMbvyiKi8IGCWpz5Lqs,,none,artist,1961
